home.team,away.team,home_scores,away_scores
Carlton,Fitzroy,60,64
Richmond,Collingwood,69,77
Fitzroy,Richmond,66,37
Collingwood,Carlton,45,71
Fitzroy,Collingwood,50,50
Richmond,Carlton,61,66
Collingwood,Richmond,78,53
Fitzroy,Carlton,51,84
Carlton,Collingwood,75,76
Richmond,Fitzroy,127,68
Collingwood,Fitzroy,79,65
Carlton,Richmond,92,31
Collingwood,Richmond,74,75
Fitzroy,Carlton,50,79
Carlton,Collingwood,65,53
Richmond,Fitzroy,65,55
Collingwood,Fitzroy,59,58
Carlton,Richmond,91,41
Carlton,Fitzroy,81,62
Richmond,Collingwood,93,67
Fitzroy,Richmond,65,75
Collingwood,Carlton,70,72
Fitzroy,Collingwood,57,75
Richmond,Carlton,65,82
